of HHincome,mean(HHincome),      Freq.,Percent,e(y| y > z),inv Pareto,e(y| y <z)
614,3098470.0,583,0.22,9826802.42837466,3.17150155669561,1633564.3157259
616,3103412.0,115,0.04,9845375.3301105,3.17243579972962,1636893.64682653
617,3112840.75,198,0.07,9864025.01038781,3.16881774642272,1640219.0852691
618,3121767.5,287,0.11,9882753.50347222,3.16575577888879,1643550.80849247
619,3130245.5,164,0.06,9901562.71796657,3.16319046476277,1646887.64075321
620,3138054.5,181,0.07,9920455.19902235,3.16133935819864,1650228.53683259
621,3147770.75,367,0.14,9939426.30392157,3.15760806403121,1653571.96596331
622,3153024.25,92,0.03,9958489.23103933,3.15839284491368,1656922.18745218
623,3159303.75,195,0.07,9977641.86619718,3.15817745166073,1660269.17193215
624,3165612.0,169,0.06,9996884.88841808,3.15796278521123,1663615.23125819
625,3174900.5,231,0.09,10016210.6232295,3.15481087461779,1666960.43564292
626,3184332.25,189,0.07,10035619.368608,3.15156164015484,1670311.41356371
627,3199062.5,988,0.37,10055096.738604,3.14313857219232,1673668.44424317
630,3205239.0,194,0.07,10074667.7607143,3.14318768763087,1677043.20985325
631,3216460.25,191,0.07,10094318.7851003,3.13833158208633,1680416.71049376
632,3227935.75,274,0.1,10114049.7708333,3.13328720090954,1683800.06630765
633,3238014.75,196,0.07,10133865.4337176,3.12965388243447,1687193.77110697
634,3242893.0,122,0.05,10153781.5390173,3.13108743921472,1690594.6943063
635,3249637.75,346,0.13,10173793.55,3.13074697325879,1693991.40832313
636,3256869.75,196,0.07,10193900.8866279,3.12996885633142,1697388.01605605
637,3265835.75,245,0.09,10214099.3272595,3.12756063352527,1700785.57974656
638,3278217.75,228,0.08,10234379.6827485,3.12193407004417,1704187.86272537
639,3289342.25,216,0.08,10254746.361437,3.11756745940224,1707602.24425959
640,3299817.5,526,0.2,10275202.0345588,3.11386979266545,1711025.9239257
641,3300477.0,19,0.01,10295776.4446903,3.11948134911719,1714457.43920879
642,3307934.0,198,0.07,10316450.5347633,3.11869902324633,1717875.58481395
643,3319390.75,198,0.07,10337213.3234421,3.11418995291294,1721295.06527671
644,3329853.5,254,0.09,10358068.5610119,3.11066795011009,1724724.45515809
645,3339609.25,225,0.08,10379019.1858209,3.10785436524375,1728161.56232049
646,3349997.5,233,0.09,10400064.1609281,3.10449908124652,1731604.82661041
647,3359581.0,217,0.08,10421206.753003,3.10193644773054,1735055.55725729
648,3370505.25,306,0.11,10442443.8057229,3.09818351587581,1738511.99436951
649,3380452.0,209,0.08,10463779.1283988,3.09537870332097,1741976.94820312
650,3389399.75,197,0.07,10485216.6416667,3.09353201600569,1745448.29365185
651,3399732.0,742,0.28,10506753.0691489,3.09046509229226,1748923.87812615
653,3402679.25,74,0.03,10528411.8307927,3.09415347649729,1752406.59568285
654,3411999.0,183,0.07,10550174.5611621,3.09208020317769,1755880.85390247
655,3420883.25,206,0.08,10572043.5529141,3.09044266649969,1759360.09370519
656,3431846.0,226,0.08,10594013.3915385,3.08697225677914,1762843.37076241
657,3442391.75,188,0.07,10616086.2978395,3.08392741698835,1766335.00806207
658,3451263.0,223,0.08,10638268.4133127,3.08242762528173,1769834.0826799
659,3460892.25,203,0.08,10660558.4013975,3.08029191067636,1773337.05959098
660,3471416.25,235,0.09,10682954.482866,3.07740521836471,1776845.49034027
661,3481972.5,211,0.08,10705457.5515625,3.0745382255496,1780361.19731052
662,3497967.25,893,0.33,10728051.565047,3.06693882426916,1783884.20207799
665,3506601.5,176,0.07,10750760.5275157,3.06586320901184,1787425.69597866
666,3518316.75,191,0.07,10773575.807571,3.06213924814216,1790970.38835808
667,3527687.0,191,0.07,10796505.835443,3.06050560478949,1794524.59897875
668,3539700.25,194,0.07,10819543.3134921,3.05662698797506,1798083.45401164
669,3550483.25,217,0.08,10842693.1863057,3.05386405816891,1801652.34088867
670,3561369.25,204,0.08,10865956.2020767,3.05106138659356,1805228.6822161
671,3571113.5,193,0.07,10889337.1081731,3.04928339806984,1808812.64255851
672,3581222.5,157,0.06,10912835.8689711,3.04723760363146,1812401.85000748
673,3591671.0,165,0.06,10936452.5298387,3.044948306746,1815997.01393023
674,3599963.25,1064,0.39,10960195.2135922,3.04452975001682,1819598.78672144
677,3605230.5,164,0.06,10984074.9691558,3.04670532692871,1823202.76336776
678,3616694.0,218,0.08,11008072.9527687,3.04368380426122,1826802.81940136
679,3628650.25,240,0.09,11032188.7132353,3.04030092545714,1830411.47097514
680,3639699.0,218,0.08,11056426.3844262,3.03773097292557,1834029.65765326
681,3649834.25,220,0.08,11080790.1743421,3.0359707908221,1837655.49970617
682,3659628.25,192,0.07,11105282.4579208,3.03453840097578,1841287.12044824
683,3673639.5,236,0.09,11129890.5471854,3.02966323918975,1844923.80270734
684,3686887.75,190,0.07,11154618.1312292,3.0254835209532,1848573.93383966
685,3698974.0,428,0.16,11179470.2783333,3.02231653381001,1852235.91355313
686,3703508.75,114,0.04,11204473.4941472,3.02536709117999,1855907.3610411
687,3714026.75,166,0.06,11229609.2214765,3.02356713544847,1859573.23681284
688,3724842.5,223,0.08,11254877.7962963,3.02157146142321,1863245.42198747
689,3737339.75,225,0.08,11280274.8842905,3.0182631601236,1866924.46759619
690,3747586.75,243,0.09,11305809.420339,3.01682393885585,1870613.64961276
